t,timestamp,packet_in_total,packet_in_rate,packet_in_threshold,controller_cpu_percent,connected_switches,known_hosts,learned_mac_entries,learned_flow_install_count,packet_out_count,mitigation_enabled,mitigation_active,attack_detected,manual_mitigation,mitigated_drop_count
0.002,1778981626.079334,0,0.0,100,0.86,4,5,15,0,0,True,False,False,False,0
1.058,1778981627.135286,0,0.0,100,0.86,4,5,15,0,0,True,False,False,False,0
2.077,1778981628.153525,0,0.0,100,0.87,4,5,15,0,0,True,False,False,False,0
3.114,1778981629.190982,0,0.0,100,0.96,4,5,15,0,0,True,False,False,False,0
4.133,1778981630.209755,0,0.0,100,0.96,4,5,15,0,0,True,False,False,False,0
5.159,1778981631.235445,0,0.0,100,0.95,4,5,15,0,0,True,False,False,False,0
6.176,1778981632.253168,0,0.0,100,0.94,4,5,15,0,0,True,False,False,False,0
7.193,1778981633.270319,0,0.0,100,0.96,4,5,15,0,0,True,False,False,False,0
8.211,1778981634.288004,0,0.0,100,0.98,4,5,15,0,0,True,False,False,False,0
9.229,1778981635.305434,0,0.0,100,0.95,4,5,15,0,0,True,False,False,False,0
10.248,1778981636.324768,0,0.0,100,0.96,4,5,15,0,0,True,False,False,False,0
11.267,1778981637.343878,0,0.0,100,0.97,4,5,15,0,0,True,False,False,False,0
12.294,1778981638.371304,0,0.0,100,1.01,4,5,15,0,0,True,False,False,False,0
13.313,1778981639.389606,0,0.0,100,1.01,4,5,15,0,0,True,False,False,False,0
14.339,1778981640.416198,0,0.0,100,0.99,4,5,15,0,0,True,False,False,False,0
15.358,1778981641.434726,0,0.0,100,0.98,4,5,15,0,0,True,False,False,False,0
16.392,1778981642.469218,0,0.0,100,0.96,4,5,15,0,0,True,False,False,False,0
17.41,1778981643.486871,0,0.0,100,0.98,4,5,15,0,0,True,False,False,False,0
18.427,1778981644.503825,0,0.0,100,0.97,4,5,15,0,0,True,False,False,False,0
19.447,1778981645.523462,340,113.33,100,13.64,4,5,15,0,331,True,True,True,False,9
20.489,1778981646.566205,500,166.67,100,15.52,4,5,15,0,331,True,True,True,False,169
21.507,1778981647.583466,752,250.67,100,19.06,4,5,15,0,331,True,True,True,False,421
22.524,1778981648.600981,968,205.67,100,19.81,4,5,15,0,331,True,True,True,False,637
23.558,1778981649.634905,1160,216.0,100,19.3,4,5,15,0,331,True,True,True,False,829
24.577,1778981650.653841,1472,236.0,100,22.89,4,5,15,0,331,True,True,True,False,1141
25.606,1778981651.682441,1784,264.0,100,24.91,4,5,15,0,331,True,True,True,False,1453
26.623,1778981652.699613,1940,256.0,100,22.32,4,5,15,0,331,True,True,True,False,1609
27.649,1778981653.725914,2155,219.67,100,21.73,4,5,15,0,331,True,True,True,False,1824
28.677,1778981654.753766,2444,215.33,100,22.62,4,5,15,0,331,True,True,True,False,2113
29.696,1778981655.772951,2565,205.33,100,20.27,4,5,15,0,331,True,True,True,False,2234
30.721,1778981656.797912,2852,228.0,100,21.46,4,5,15,0,331,True,True,True,False,2521
31.744,1778981657.820751,3116,221.33,100,21.8,4,5,15,0,331,True,True,True,False,2785
32.761,1778981658.83824,3248,220.0,100,19.7,4,5,15,0,331,True,True,True,False,2917
33.783,1778981659.859482,3452,192.0,100,19.31,4,5,15,0,331,True,True,True,False,3121
34.807,1778981660.884106,3632,169.33,100,18.7,4,5,15,0,331,True,True,True,False,3301
35.825,1778981661.901529,3860,196.0,100,19.23,4,5,15,0,331,True,True,True,False,3529
36.85,1778981662.926981,4140,223.67,100,20.67,4,5,15,0,331,True,True,True,False,3809
37.873,1778981663.950315,4388,249.33,100,21.02,4,5,15,0,331,True,True,True,False,4057
38.898,1778981664.974813,4544,223.0,100,19.44,4,5,15,0,331,True,True,True,False,4213
39.916,1778981665.992594,4705,181.67,100,18.5,4,5,15,0,331,True,True,True,False,4374
40.935,1778981667.011466,4944,182.67,100,19.3,4,5,15,0,331,True,True,True,False,4613
41.96,1778981668.036865,5227,222.33,100,20.71,4,5,15,0,331,True,True,True,False,4896
42.984,1778981669.061125,5504,264.0,100,21.56,4,5,15,0,331,True,True,True,False,5173
44.001,1778981670.078344,5696,244.0,100,20.42,4,5,15,0,331,True,True,True,False,5365
45.025,1778981671.102097,5964,241.33,100,21.22,4,5,15,0,331,True,True,True,False,5633
46.057,1778981672.133817,6176,217.0,100,20.75,4,5,15,0,331,True,True,True,False,5845
47.075,1778981673.151613,6300,193.33,100,18.68,4,5,15,0,331,True,True,True,False,5969
48.105,1778981674.182288,6488,168.0,100,18.65,4,5,15,0,331,True,True,True,False,6157
49.123,1778981675.199664,6752,188.0,100,19.83,4,5,15,0,331,True,True,True,False,6421
50.151,1778981676.227513,7026,239.33,100,20.85,4,5,15,0,331,True,True,True,False,6695
51.17,1778981677.246424,7288,266.0,100,21.09,4,5,15,0,331,True,True,True,False,6957
52.189,1778981678.266354,7482,238.67,100,20.17,4,5,15,0,331,True,True,True,False,7151
53.208,1778981679.285096,7674,211.33,100,19.38,4,5,15,0,331,True,True,True,False,7343
54.228,1778981680.30481,7784,160.0,100,17.46,4,5,15,0,331,True,True,True,False,7453
55.246,1778981681.322867,7897,137.67,100,16.2,4,5,15,0,331,True,True,True,False,7566
56.266,1778981682.342824,8012,112.0,100,15.16,4,5,15,0,331,True,True,True,False,7681
57.29,1778981683.367198,8144,116.0,100,14.82,4,5,15,0,331,True,True,True,False,7813
58.309,1778981684.385388,8269,121.67,100,14.39,4,5,15,0,331,True,True,True,False,7938
59.338,1778981685.415063,8492,156.0,100,16.14,4,5,15,0,331,True,True,True,False,8161
60.357,1778981686.434003,8780,208.0,100,18.72,4,5,15,0,331,True,True,True,False,8449
61.385,1778981687.462253,9066,263.33,100,20.55,4,5,15,0,331,True,True,True,False,8735
62.406,1778981688.482621,9344,276.0,100,21.65,4,5,15,0,331,True,True,True,False,9013
63.429,1778981689.505464,9576,257.33,100,21.58,4,5,15,0,331,True,True,True,False,9245
64.457,1778981690.533578,9580,166.67,100,15.86,4,5,15,0,331,True,True,True,False,9249
65.475,1778981691.551629,9580,70.67,100,11.78,4,5,15,0,331,True,True,True,False,9249
66.493,1778981692.570237,9580,0.0,100,8.93,4,5,15,0,331,True,True,True,False,9249
67.511,1778981693.587591,9580,0.0,100,6.96,4,5,15,0,331,True,True,True,False,9249
68.535,1778981694.612072,9580,0.0,100,5.53,4,5,15,0,331,True,True,True,False,9249
69.553,1778981695.629684,9580,0.0,100,4.15,4,5,15,0,331,True,True,True,False,9249
70.579,1778981696.656269,9580,0.0,100,3.18,4,5,15,0,331,True,True,False,False,9249
71.6,1778981697.677133,9580,0.0,100,2.59,4,5,15,0,331,True,True,False,False,9249
72.627,1778981698.703504,9580,0.0,100,2.14,4,5,15,0,331,True,True,False,False,9249
73.645,1778981699.721748,9580,0.0,100,1.78,4,5,15,0,331,True,True,False,False,9249
74.662,1778981700.739294,9580,0.0,100,1.51,4,5,15,0,331,True,True,False,False,9249
75.681,1778981701.758136,9580,0.0,100,1.37,4,5,15,0,331,True,True,False,False,9249
76.699,1778981702.77572,9580,0.0,100,1.23,4,5,15,0,331,True,True,False,False,9249
77.723,1778981703.799999,9580,0.0,100,1.2,4,5,15,0,331,True,True,False,False,9249
78.763,1778981704.840001,9580,0.0,100,1.12,4,5,15,0,331,True,True,False,False,9249
79.782,1778981705.858989,9580,0.0,100,1.09,4,5,15,0,331,True,True,False,False,9249
80.813,1778981706.889455,9580,0.0,100,1.07,4,5,15,0,331,True,True,False,False,9249
81.831,1778981707.90765,9580,0.0,100,1.02,4,5,15,0,331,True,True,False,False,9249
82.857,1778981708.933871,9580,0.0,100,1.04,4,5,15,0,331,True,True,False,False,9249
83.875,1778981709.951978,9580,0.0,100,1.02,4,5,15,0,331,True,True,False,False,9249
84.893,1778981710.969828,9580,0.0,100,0.98,4,5,15,0,331,True,True,False,False,9249
