t,mbps
0,99.6
1,96.5
2,96.5
3,96.5
4,96.5
5,93.3
6,97.5
7,97.5
8,95.4
9,93.3
10,97.5
11,93.3
12,97.5
13,96.5
14,94.4
15,96.5
16,94.4
17,96.5
18,94.4
19,96.5
20,96.5
21,94.4
22,96.5
23,94.4
24,96.5
25,94.4
26,96.5
27,97.5
28,93.3
29,97.5
30,93.3
31,97.5
32,93.3
33,97.5
34,96.5
35,94.4
36,96.5
37,94.4
38,96.5
39,69.2
40,39.8
41,44.0
42,40.9
43,40.9
44,39.8
45,44.0
46,44.0
47,44.0
48,44.0
49,43.0
50,44.0
51,44.0
52,40.9
53,43.0
54,44.0
55,44.0
56,40.9
57,43.0
58,44.0
59,44.0
60,44.0
61,43.0
62,40.9
63,40.9
64,40.9
65,40.9
66,39.8
67,40.9
68,40.9
69,40.9
70,43.0
71,37.7
72,44.0
73,40.9
74,39.8
75,40.9
76,40.9
77,40.9
78,37.7
79,39.8
80,40.9
81,44.0
82,47.2
83,46.1
84,44.0
85,44.0
86,47.2
87,43.0
88,44.0
89,64.0
90,66.1
