t,rtt_ms
40.0,4.97
40.5,11.5
41.0,12.7
41.5,8.61
42.0,7.91
42.5,9.23
43.0,10.7
43.5,9.02
44.0,9.81
44.5,9.11
45.0,9.78
45.5,11.4
46.0,8.41
46.5,12.2
47.0,7.86
47.5,11.5
48.0,11.5
48.5,8.32
49.0,10.8
49.5,8.95
50.0,10.3
50.5,8.95
51.0,11.4
51.5,12.1
52.0,10.1
52.5,7.96
53.0,9.44
53.5,8.91
54.0,5.86
54.5,9.36
55.0,5.82
55.5,10.0
56.0,10.2
56.5,9.4
57.0,13.5
57.5,10.3
58.0,8.11
58.5,11.9
59.0,8.68
59.5,8.38
60.0,12.0
60.5,9.3
61.0,10.1
61.5,7.31
62.0,11.8
62.5,11.7
63.0,9.22
63.5,7.12
64.0,7.87
64.5,13.5
65.0,12.4
65.5,9.51
66.0,9.55
66.5,11.2
67.0,9.14
67.5,10.1
68.0,11.3
68.5,11.5
69.0,10.6
69.5,6.9
70.0,9.43
70.5,10.7
71.0,10.8
71.5,8.5
72.0,9.42
72.5,11.9
73.0,8.0
73.5,10.9
74.0,7.29
74.5,14.0
75.0,8.92
75.5,9.8
76.0,13.7
76.5,10.9
77.0,7.8
77.5,8.69
78.0,13.0
78.5,7.62
79.0,7.75
79.5,11.1
80.0,7.84
80.5,8.71
81.0,12.2
81.5,8.06
82.0,15.7
82.5,14.4
83.0,14.5
83.5,16.3
84.0,12.3
84.5,12.3
85.0,16.6
85.5,16.3
86.0,14.6
86.5,14.6
87.0,16.0
87.5,13.2
88.0,16.9
88.5,18.4
89.0,16.5
89.5,16.2
