t,timestamp,ip,rtt_ms,reachable,loss_pct_last10
0.009,1778981626.086137,10.10.10.1,,0,100.0
0.009,1778981626.086137,10.10.10.2,,0,100.0
0.009,1778981626.086137,10.10.10.3,,0,100.0
11.127,1778981637.204051,10.10.10.1,,0,100.0
11.127,1778981637.204051,10.10.10.2,,0,100.0
11.127,1778981637.204051,10.10.10.3,,0,100.0
22.21,1778981648.286522,10.10.10.1,,0,100.0
22.21,1778981648.286522,10.10.10.2,,0,100.0
22.21,1778981648.286522,10.10.10.3,,0,100.0
33.326,1778981659.402536,10.10.10.1,,0,100.0
33.326,1778981659.402536,10.10.10.2,,0,100.0
33.326,1778981659.402536,10.10.10.3,,0,100.0
44.419,1778981670.496243,10.10.10.1,,0,100.0
44.419,1778981670.496243,10.10.10.2,,0,100.0
44.419,1778981670.496243,10.10.10.3,,0,100.0
55.527,1778981681.603438,10.10.10.1,,0,100.0
55.527,1778981681.603438,10.10.10.2,,0,100.0
55.527,1778981681.603438,10.10.10.3,,0,100.0
66.626,1778981692.702675,10.10.10.1,,0,100.0
66.626,1778981692.702675,10.10.10.2,,0,100.0
66.626,1778981692.702675,10.10.10.3,,0,100.0
77.708,1778981703.784437,10.10.10.1,,0,100.0
77.708,1778981703.784437,10.10.10.2,,0,100.0
77.708,1778981703.784437,10.10.10.3,,0,100.0
88.828,1778981714.904545,10.10.10.1,,0,100.0
88.828,1778981714.904545,10.10.10.2,,0,100.0
88.828,1778981714.904545,10.10.10.3,,0,100.0
