run_dir,name,rate,size,mitigation,attack_method,duration,attack_delay,attack_length,avg_cpu_attack,max_cpu_attack,avg_packetin_attack,max_packetin_attack,avg_rtt_existing_attack_ms,avg_rtt_new_attack_ms,avg_iperf_existing_mbps,avg_iperf_new_mbps,mitigated_drop_count,dropped_unknown_count,dropped_overrate_count,max_escalated_ports,lockdown_packetin_reduction_pct,lockdown_total_pps_reduction_pct,lockdown_avg_escalated_ports
/users/viliang/Self_Healing_SDN_Controller/results/baseline_no_attack_20260516_191726,baseline_no_attack,0.0,256.0,on,scapy,90.0,15.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,72.4429,41.951,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/users/viliang/Self_Healing_SDN_Controller/results/baseline_no_attack_20260516_201108,baseline_no_attack,0.0,256.0,on,scapy,90.0,15.0,0.0,0.0,0.0,0.0,0.0,8.6,21.0,80.3901,27.9196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/users/viliang/Self_Healing_SDN_Controller/results/baseline_no_attack_20260516_220752,baseline_no_attack,0.0,256.0,on,scapy,90.0,15.0,0.0,0.0,0.0,0.0,0.0,5.75,0.0,95.8385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/users/viliang/Self_Healing_SDN_Controller/results/baseline_no_attack_20260516_221755,baseline_no_attack,0.0,256.0,on,scapy,90.0,15.0,0.0,0.0,0.0,0.0,0.0,9.67,0.0,95.7966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/users/viliang/Self_Healing_SDN_Controller/results/baseline_no_attack_20260516_221915,baseline_no_attack,0.0,256.0,on,scapy,90.0,15.0,0.0,0.0,0.0,0.0,0.0,8.55,11.5,61.2187,48.7647,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/users/viliang/Self_Healing_SDN_Controller/results/rate_10000_scapy_mit_on_20260516_202548,rate_10000_scapy_mit_on,10000.0,256.0,on,scapy,90.0,15.0,45.0,22.4743,33.71,215.1059,386.33,13.6084,13.8429,76.3484,35.102,10372.0,10371.0,1.0,3.0,19.0363,35.3867,2.7073
/users/viliang/Self_Healing_SDN_Controller/results/rate_100_scapy_mit_on_20260516_222053,rate_100_scapy_mit_on,100.0,256.0,on,scapy,90.0,15.0,45.0,1.4089,2.0,0.0,0.0,11.9365,14.6747,49.5736,13.7304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/users/viliang/Self_Healing_SDN_Controller/results/rate_100_scapy_mit_on_20260516_222552,rate_100_scapy_mit_on,100.0,256.0,on,scapy,90.0,15.0,45.0,15.9414,37.06,117.2502,300.0,21.0515,21.5357,82.5637,23.6706,3713.0,3712.0,1.0,2.0,66.7154,74.8598,0.9412
/users/viliang/Self_Healing_SDN_Controller/results/rate_1200_scapy_mit_on_20260516_201917,rate_1200_scapy_mit_on,1200.0,256.0,on,scapy,90.0,15.0,45.0,17.0045,22.46,171.1816,304.0,13.1997,16.5043,85.1516,19.398,7934.0,7933.0,1.0,3.0,-5.4987,77.1492,2.5714
/users/viliang/Self_Healing_SDN_Controller/results/rate_1500_scapy_mit_on_20260516_202055,rate_1500_scapy_mit_on,1500.0,256.0,on,scapy,90.0,15.0,45.0,18.3807,25.07,183.652,355.0,9.4773,14.7023,77.8901,32.2255,8474.0,8473.0,1.0,3.0,38.3115,57.176,2.6341
